#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3325.02450032	2.2574494813986026e-18	2.2574494813986026e-18	3.225249906636001e-17
3325.2244838	2.2574494813986026e-18	2.2574494813986026e-18	3.35012893747e-17
3325.42446728	1.613269329798609e-18	1.613269329798609e-18	3.234683139804999e-17
3325.62445076	9.380712072986004e-19	9.380712072986004e-19	3.32508716606e-17
3325.82443423	1.613269329798609e-18	1.613269329798609e-18	3.342453758792999e-17
3326.02441771	2.2574494813986026e-18	2.2574494813986026e-18	3.501087146054999e-17
3326.22540111	2.2574494813986026e-18	2.2574494813986026e-18	3.401179975104001e-17
3326.42538458	4.07790168929861e-18	4.07790168929861e-18	3.341954418782e-17
3326.62536806	5.680561056698607e-18	5.680561056698607e-18	3.291344652516001e-17
3326.82535154	5.680561056698607e-18	5.680561056698607e-18	3.296679718968e-17
3327.02533502	4.07790168929861e-18	4.07790168929861e-18	3.305088116498001e-17
3327.22531849	1.8546881573986056e-18	1.8546881573986056e-18	3.241321230312001e-17
3327.42530197	1.8546881573986056e-18	1.8546881573986056e-18	3.30496826154e-17
3327.62528545	1.8546881573986056e-18	1.8546881573986056e-18	3.208782176469e-17
3327.82526893	4.07790168929861e-18	4.07790168929861e-18	3.17505415891e-17
3328.0252524	4.07790168929861e-18	4.07790168929861e-18	3.354767087854e-17
3328.22523588	4.07790168929861e-18	4.07790168929861e-18	3.314743019315e-17
3328.42521936	4.07790168929861e-18	4.07790168929861e-18	3.272855944332e-17
3328.62520284	4.07790168929861e-18	4.07790168929861e-18	3.290551563013e-17
3328.82518632	4.07790168929861e-18	4.07790168929861e-18	3.216551799612999e-17
3329.02516979	4.07790168929861e-18	4.07790168929861e-18	3.184156989005999e-17
3329.22515327	5.680561056698607e-18	5.680561056698607e-18	3.215441052432e-17
3329.42513675	4.07790168929861e-18	4.07790168929861e-18	3.145058668455e-17
3329.62512023	1.8546881573986056e-18	1.8546881573986056e-18	3.194849299104001e-17
3329.8251037	1.613269329798609e-18	1.613269329798609e-18	3.193593742985e-17
3330.02508718	9.380712072986004e-19	9.380712072986004e-19	3.090983822707e-17
3330.22507066	9.380712072986004e-19	9.380712072986004e-19	3.246048569231999e-17
3330.42505414	1.613269329798609e-18	1.613269329798609e-18	3.195621281225e-17
3330.62503762	1.8546881573986056e-18	1.8546881573986056e-18	3.136853625871999e-17
3330.82502109	1.8546881573986056e-18	1.8546881573986056e-18	3.210365069519999e-17
3331.02500457	1.8546881573986056e-18	1.8546881573986056e-18	3.234326421930002e-17
3331.22498805	1.613269329798609e-18	1.613269329798609e-18	3.253462649755999e-17
3331.42497153	9.380712072986004e-19	9.380712072986004e-19	3.251975092706e-17
